DiseaseID,miRNA
D003920,let-7a
D008175,let-7a
D000544,let-7a
D010003,let-7a
D002357,let-7a
D001943,let-7a
D009203,let-7a
D058186,let-7a
D009765,let-7a
D005757,let-7a
D034701,let-7a
D006566,let-7a
D000072716,let-7a
D056770,let-7a
D006967,let-7a
D003872,let-7a
D000077273,let-7a
D020964,let-7a
D000077277,let-7a
D011225,let-7a
D012559,let-7a
D010051,let-7a
D000795,let-7a
D010024,let-7a
D002583,let-7a
D000086382,let-7a
D003924,let-7a
D015179,let-7a
D000072660,let-7a
D012175,let-7a
D008171,let-7a
D002289,let-7a
D000077195,let-7a
D018239,let-7a
D010300,let-7a
D008545,let-7a
D003110,let-7a
D018805,let-7a
D007822,let-7a
D012516,let-7a
D017544,let-7a
D014657,let-7a
D001249,let-7a
D004769,let-7a
D013981,let-7a
D006949,let-7a
D008228,let-7a
D008113,let-7a
D008103,let-7a
D018281,let-7a
D002296,let-7a
D002658,let-7a
D006333,let-7a
D013274,let-7a
D008268,let-7a
D003930,let-7a
D006689,let-7a
D002386,let-7a
D000077216,let-7a
D058922,let-7a
D009298,let-7a
D001172,let-7a
D002561,let-7a
D009190,let-7a
D010505,let-7a
D014376,let-7a
D066126,let-7a
D013119,let-7a
D009101,let-7a
D007674,let-7a
D011236,let-7a
D010520,let-7a
D006526,let-7a
D016640,let-7a
D001661,let-7a
D011471,let-7a
D002318,let-7a
D007246,let-7a
D053713,let-7a
D006528,let-7a
D002779,let-7a
D024821,let-7a
D006323,let-7a
D050500,let-7a
D005910,let-7a
D000081029,let-7a
D008223,let-7a
D015459,let-7a
D009133,let-7a
D001749,let-7a
D003865,let-7a
D029424,let-7a
D064726,let-7a
D015433,let-7a
D009767,let-7a
D001281,let-7a
D003928,let-7a
D003920,let-7e
D000544,let-7e
D007249,let-7e
D001022,let-7e
D001228,let-7e
D020370,let-7e
D015451,let-7e
D010051,let-7e
D003865,let-7e
D008113,let-7e
D006457,let-7e
D015179,let-7e
D013981,let-7e
D003924,let-7e
D002289,let-7e
D055959,let-7e
D000081029,let-7e
D009765,let-7e
D000751,let-7e
D012164,let-7e
D006332,let-7e
D001943,let-7e
D014376,let-7e
D013274,let-7e
D000075222,let-7e
D013964,let-7e
D009133,let-7e
D000077274,let-7e
D010003,let-7e
D007938,let-7e
D020371,let-7e
D006402,let-7e
D000086382,let-7e
D010911,let-7e
D011085,let-7e
D006528,let-7e
D000077195,let-7e
D000077273,let-7e
D005910,let-7e
D012509,let-7e
D009203,let-7e
D012559,let-7d
D010182,let-7d
D011230,let-7d
D002583,let-7d
D009765,let-7d
D007333,let-7d
D001008,let-7d
D001523,let-7d
D010922,let-7d
D019970,let-7d
D018218,let-7d
D000795,let-7d
D011225,let-7d
D001943,let-7d
D011658,let-7d
D015179,let-7d
D000081029,let-7d
D000077216,let-7d
D019636,let-7d
D009203,let-7d
D001289,let-7d
D004314,let-7d
D000077195,let-7d
D009190,let-7d
D013274,let-7d
D000544,let-7d
D003924,let-7d
D011236,let-7d
D000077273,let-7d
D002296,let-7d
D002779,let-7d
D003922,let-7d
D008107,let-7d
D008268,let-7d
D011471,let-7d
D012173,let-7d
D002318,let-7d
D002386,let-7d
D001172,let-7d
D000163,let-7d
D006509,let-7d
D006528,let-7d
D058249,let-7d
D009101,let-7d
D010051,let-7d
D020345,let-7d
D014376,let-7d
D004806,let-7d
D018805,let-7d
D005922,let-7d
D002289,let-7d
D012128,let-7d
D001249,let-7d
D008175,let-7d
D005355,let-7d
D001327,let-7d
D055370,let-7d
D000437,let-7d
D005910,let-7d
D005909,let-7d
D000077277,let-7d
D011085,let-7d
D012595,let-7d
D058065,let-7d
D008175,let-7c
D008171,let-7c
D004314,let-7c
D020961,let-7c
D001943,let-7c
D008545,let-7c
D011832,let-7c
D001172,let-7c
D010003,let-7c
D000077216,let-7c
D000077195,let-7c
D050197,let-7c
D008269,let-7c
D009101,let-7c
D003928,let-7c
D016403,let-7c
D001661,let-7c
D002545,let-7c
D002972,let-7c
D002583,let-7c
D002289,let-7c
D054990,let-7c
D016889,let-7c
D009157,let-7c
D000026,let-7c
D064129,let-7c
D015179,let-7c
D006973,let-7c
D058226,let-7c
D006528,let-7c
D000077192,let-7c
D015212,let-7c
D001749,let-7c
D010505,let-7c
D001249,let-7c
D013981,let-7c
D013274,let-7c
D020388,let-7c
D011471,let-7c
D015428,let-7c
D008659,let-7c
D017379,let-7c
D007246,let-7c
D029424,let-7c
D010190,let-7c
D009062,let-7c
D002386,let-7c
D011671,let-7c
C535608,let-7c
D014029,let-7c
D005910,let-7c
D015433,let-7c
D002292,let-7c
D002295,let-7c
D011225,let-7c
D007938,let-7c
D007674,let-7b
D007249,let-7b
D002289,let-7b
D000083242,let-7b
D008171,let-7b
D001327,let-7b
D005757,let-7b
D008228,let-7b
D000236,let-7b
C537017,let-7b
D060825,let-7b
D006528,let-7b
D001281,let-7b
D003110,let-7b
D008175,let-7b
D008545,let-7b
C536494,let-7b
D018805,let-7b
D014397,let-7b
D009103,let-7b
D001749,let-7b
D011832,let-7b
D003865,let-7b
D003424,let-7b
D000077216,let-7b
D013921,let-7b
D002561,let-7b
D003924,let-7b
D013274,let-7b
D011655,let-7b
D012173,let-7b
D009442,let-7b
D009456,let-7b
D015535,let-7b
D000077274,let-7b
D053201,let-7b
D015464,let-7b
D058186,let-7b
D007938,let-7b
D012859,let-7b
D001943,let-7b
D003928,let-7b
D009101,let-7b
D003920,let-7b
D001289,let-7b
D010051,let-7b
D003324,let-7b
D000086382,let-7b
D004715,let-7b
D006526,let-7b
D000077192,let-7b
D005910,let-7b
D002583,let-7b
D009203,let-7b
D054198,let-7b
D013981,let-7b
D005922,let-7b
D003327,let-7b
D004833,let-7b
D004827,let-7b
D010024,let-7b
D050197,let-7b
D005317,let-7b
D006976,let-7b
D000081029,let-7b
D007246,let-7b
D006561,let-7b
D015179,let-7b
D016543,let-7b
D015470,let-7b
D005355,let-7b
D006689,let-7b
D008527,let-7b
D059226,let-7b
D002294,let-7b
D052016,let-7b
D055959,let-7b
D009765,let-7b
D065626,let-7b
D011471,let-7b
D001172,let-7b
D009447,let-7b
D012164,let-7b
D000544,let-7g
D008113,let-7g
D006223,let-7g
D016393,let-7g
C535531,let-7g
D013964,let-7g
D063647,let-7g
D002446,let-7g
C562602,let-7g
D014277,let-7g
D001749,let-7g
D050197,let-7g
D010024,let-7g
D008175,let-7g
D002292,let-7g
D015179,let-7g
D005909,let-7g
D002280,let-7g
D006528,let-7g
D011225,let-7g
D017545,let-7g
D000077216,let-7g
D007822,let-7g
D000083242,let-7g
D010534,let-7g
D013274,let-7g
D015427,let-7g
D005317,let-7g
D014605,let-7g
D018281,let-7g
D017086,let-7g
D002386,let-7g
D003072,let-7g
D014929,let-7g
D018269,let-7g
D010505,let-7g
D006973,let-7g
D012164,let-7g
D005706,let-7g
D016403,let-7g
D007246,let-7g
D002658,let-7g
D006323,let-7g
D000077274,let-7g
D012516,let-7g
D008223,let-7g
D015459,let-7g
D003110,let-7g
D000860,let-7i
D002278,let-7i
D011085,let-7i
D009203,let-7i
D016393,let-7i
D007511,let-7i
D013272,let-7i
D056770,let-7i
D008288,let-7i
D014890,let-7i
D000544,let-7i
D003876,let-7i
D016889,let-7i
D000077192,let-7i
D008175,let-7i
D001943,let-7i
D001249,let-7i
D000083242,let-7i
D006528,let-7i
D004715,let-7i
D002280,let-7i
D015179,let-7i
D002583,let-7i
D006526,let-7i
D007822,let-7i
D002292,let-7i
D003924,let-7i
D006332,let-7i
D065627,let-7i
D014376,let-7i
D010001,let-7i
D003928,let-7i
D007248,let-7i
D003323,let-7i
D009080,let-7i
D058065,let-7i
D003324,let-7i
D057765,let-7i
D000755,let-7i
D010051,let-7i
D007246,let-7i
D058186,let-7i
D002289,let-7i
D054058,let-7i
D008545,let-7i
D001749,let-7i
D005909,let-7i
D004938,let-7i
D003110,let-7f
D010024,let-7f
D006528,let-7f
D001022,let-7f
D009203,let-7f
D004719,let-7f
D011014,let-7f
D050171,let-7f
D000072716,let-7f
D056770,let-7f
C536629,let-7f
D018979,let-7f
D001249,let-7f
D000690,let-7f
D055113,let-7f
D000077216,let-7f
D003324,let-7f
D002561,let-7f
D008659,let-7f
D003924,let-7f
D008103,let-7f
D009103,let-7f
D012164,let-7f
D011658,let-7f
D010520,let-7f
D011470,let-7f
D011471,let-7f
D010051,let-7f
D009202,let-7f
D001943,let-7f
D066126,let-7f
D007938,let-7f
D017544,let-7f
D002280,let-7f
D015179,let-7f
D008545,let-7f
D005909,let-7f
D013981,let-7f
D016403,let-7f
D064726,let-7f
D007246,let-7f
D014947,let-7f
D014652,let-7f
D055370,let-7f
D056735,let-7f
D002289,let-7f
D010518,let-7f
D001749,let-7f
D012516,let-7f
D008180,let-7f
D050197,let-7f
D002292,let-7f
D009101,let-7f
D009765,let-7f
D008223,let-7f
D015459,let-7f
